cell1_v,cell2_v,cell3_v,loadcell1,loadcell2,pack_v,rpm1,rpm2,throttle1,throttle2
3.94,3.969,3.971,-6,-6,11.88,334,0,0.0,0.0
3.942,3.969,3.97,-2,-6,11.881,332,0,0.0,0.0
3.942,3.972,3.967,-4,-6,11.881,573,0,0.0,0.0
3.942,3.972,3.967,-4,-6,11.881,573,0,0.0,0.0
3.943,3.974,3.964,-4,-6,11.881,362,0,0.0,0.0
3.943,3.974,3.965,-4,-6,11.882,362,0,0.0,0.0
3.943,3.975,3.963,-4,-6,11.881,293,0,0.0,0.0
3.943,3.975,3.963,-4,-6,11.881,293,0,0.0,0.0
3.943,3.976,3.963,-4,-6,11.882,385,0,0.0,0.0
3.945,3.976,3.963,-4,-7,11.884,385,0,0.0,0.0
3.945,3.976,3.963,-4,-7,11.884,0,0,0.0,0.0
3.944,3.978,3.961,-4,-7,11.883,0,0,0.0,0.0
3.946,3.976,3.964,-4,-7,11.886,331,0,0.0,0.0
3.947,3.976,3.965,-4,-7,11.888,0,0,0.0,0.0
3.947,3.976,3.965,-4,-7,11.888,0,0,0.0,0.0
3.947,3.976,3.964,-4,-7,11.887,0,0,0.0,0.0
3.947,3.976,3.963,-4,-7,11.886,0,0,0.0,0.0
3.948,3.976,3.966,-4,-7,11.89,300,0,0.0,0.0
3.948,3.976,3.966,-4,-7,11.89,300,0,0.0,0.0
3.949,3.974,3.968,-4,-8,11.891,0,0,0.0,0.0
3.949,3.975,3.971,-5,-8,11.895,0,0,0.0,0.0
3.949,3.975,3.971,-5,-8,11.895,0,0,0.0,0.0
3.95,3.973,3.972,-4,-8,11.895,0,0,0.0,0.0
3.951,3.973,3.974,-4,-7,11.898,0,0,0.0,0.0
3.951,3.973,3.975,-8,-7,11.899,0,0,0.0,0.0
3.951,3.973,3.975,-7,-7,11.899,0,0,0.0,0.0
3.952,3.972,3.978,-7,-8,11.902,0,0,0.0,0.0
3.952,3.972,3.979,-7,-8,11.903,0,0,0.0,0.0
3.952,3.971,3.98,-6,-8,11.903,0,0,0.0,0.0
3.952,3.971,3.98,-7,-7,11.903,0,0,0.0,0.0
3.953,3.971,3.98,-7,-7,11.904,0,0,0.0,0.0
3.952,3.972,3.981,-7,-7,11.905,0,0,0.0,0.0
3.953,3.971,3.982,-7,-8,11.906,0,0,0.0,0.0
3.953,3.971,3.982,-7,-7,11.906,0,0,0.0,0.0
3.953,3.971,3.982,-7,-8,11.906,0,0,0.0,0.0
3.953,3.971,3.982,-7,-8,11.906,0,0,0.0,0.0
3.953,3.971,3.982,-7,-8,11.906,0,0,0.0,0.0
3.954,3.971,3.982,-7,-8,11.907,0,0,0.0,0.0
3.954,3.97,3.982,-7,-8,11.906,0,0,0.0,0.0
3.954,3.97,3.983,-7,-8,11.907,0,0,0.0,0.0
3.954,3.97,3.983,-7,-8,11.907,0,0,0.0,0.0
3.955,3.97,3.983,-7,-8,11.908,0,0,0.0,0.0
3.954,3.97,3.983,-7,-8,11.907,0,0,0.0,0.0
3.954,3.97,3.983,-7,-7,11.907,0,0,0.0,0.0
3.954,3.97,3.983,-7,-7,11.907,0,0,0.0,0.0
3.955,3.969,3.983,-7,-8,11.907,0,0,0.0,0.0
3.955,3.969,3.983,-7,-8,11.907,0,0,0.0,0.0
3.955,3.969,3.983,-7,-8,11.907,0,0,0.0,0.0
3.955,3.969,3.983,-7,-8,11.907,0,0,0.0,0.0
3.955,3.969,3.983,-7,-8,11.907,0,0,0.0,0.0
3.955,3.969,3.983,-7,-8,11.907,0,0,0.0,0.0
3.955,3.969,3.983,-7,-8,11.907,0,0,0.0,0.0
3.955,3.969,3.983,-6,-7,11.907,0,0,0.0,0.0
3.955,3.969,3.983,-7,-7,11.907,0,0,0.0,0.0
3.956,3.968,3.984,-7,-7,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-7,-7,11.908,0,0,0.0,0.0
3.955,3.969,3.983,-7,-7,11.907,0,0,0.0,0.0
3.956,3.968,3.984,-7,-7,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-7,-7,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-7,-7,11.908,0,0,0.0,0.0
3.955,3.969,3.983,-7,-7,11.907,0,0,0.0,0.0
3.956,3.969,3.984,-7,-7,11.909,0,0,0.0,0.0
3.956,3.969,3.984,-7,-8,11.909,0,0,0.0,0.0
3.955,3.969,3.983,-7,-8,11.907,0,0,0.0,0.0
3.956,3.968,3.984,-7,-7,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-7,-8,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-7,-8,11.908,0,0,0.0,0.0
3.956,3.968,3.983,-7,-7,11.907,0,0,0.0,0.0
3.956,3.968,3.984,-7,-8,11.908,0,0,0.0,0.0
3.956,3.969,3.983,-7,-8,11.908,0,0,0.0,0.0
3.956,3.969,3.983,-7,-8,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-7,-8,11.908,0,0,0.0,0.0
3.956,3.968,3.982,-7,-8,11.906,0,0,0.0,9.8
3.956,3.968,3.982,-17,-7,11.906,334,0,0.0,9.8
3.955,3.969,3.983,-64,-5,11.907,334,0,0.0,9.8
3.956,3.968,3.983,-61,-3,11.907,664,0,0.0,9.8
3.956,3.969,3.983,-35,-3,11.908,664,0,0.0,9.8
3.956,3.969,3.983,-24,-2,11.908,1004,0,0.0,9.8
3.956,3.968,3.983,-21,-1,11.907,1004,0,0.0,9.8
3.956,3.968,3.983,-19,0,11.907,995,0,0.0,9.8
3.956,3.968,3.983,-19,0,11.907,1117,0,0.0,9.8
3.956,3.968,3.983,-18,-1,11.907,1117,0,0.0,9.8
3.956,3.968,3.983,-18,0,11.907,738,0,0.0,9.8
3.956,3.969,3.983,-17,0,11.908,738,0,0.0,9.8
3.956,3.968,3.984,-17,0,11.908,1159,0,0.0,9.8
3.956,3.968,3.984,-17,0,11.908,1159,0,0.0,9.8
3.956,3.968,3.983,-17,0,11.907,784,0,0.0,9.8
3.956,3.968,3.984,-16,0,11.908,784,0,0.0,9.8
3.956,3.968,3.984,-16,0,11.908,1004,0,0.0,9.8
3.956,3.968,3.984,-16,0,11.908,1004,0,0.0,9.8
3.955,3.969,3.983,-16,0,11.907,996,0,0.0,9.8
3.956,3.968,3.984,-16,0,11.908,1164,0,0.0,9.8
3.956,3.968,3.984,-16,0,11.908,1164,0,0.0,9.8
3.955,3.969,3.983,-16,0,11.907,1078,0,0.0,9.8
3.956,3.968,3.984,-16,0,11.908,1078,0,0.0,9.8
3.956,3.968,3.983,-16,0,11.907,888,0,0.0,9.8
3.956,3.968,3.983,-16,0,11.907,888,0,0.0,9.8
3.956,3.968,3.983,-16,0,11.907,1144,0,0.0,9.8
3.957,3.967,3.984,-16,0,11.908,1144,0,0.0,9.8
3.957,3.967,3.984,-16,0,11.908,1004,0,0.0,9.8
3.956,3.968,3.983,-16,0,11.907,1004,0,0.0,9.8
3.956,3.968,3.984,-16,0,11.908,996,0,0.0,9.8
3.956,3.969,3.983,-16,0,11.908,996,0,0.0,9.8
3.956,3.969,3.983,-16,0,11.908,1004,0,0.0,9.8
3.956,3.968,3.984,-17,0,11.908,1004,0,0.0,9.8
